
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     12     2.68       3.71       0.00    1292   0 svchost
     22     9.65       6.51       0.00    1468   0 svchost
      7     1.31       2.68       0.00    1488   0 svchost
     10     1.95       3.89       0.00    1508   0 svchost
     12     2.87       7.24       0.00    1656   0 svchost
      9     2.37       5.17       0.00    1724   0 svchost
     13    17.34      11.58       0.00    1740   0 svchost
      7     2.08       4.01       0.00    1752   0 svchost
     10     2.93       6.54       0.00    1772   0 svchost
     18     8.11       7.36       0.00    1808   0 svchost
     14     2.85       6.21       0.47    1840   8 svchost
     14     9.15       7.39       0.00    1904   0 svchost
     12     2.12       5.50       0.00    1944   0 svchost
     11     3.76      12.71       0.00    1988   0 svchost
     10     2.56       5.10       0.00    2088   0 svchost
     14    40.38      37.93       0.00    2100   0 svchost
      8     1.40       4.04       0.00    2104   0 svchost
     11    10.63      14.71       0.00    2156   0 svchost
     10     2.09       5.52       0.00    2272   0 svchost
     11     3.09       2.14       0.00    2280   0 svchost
     15     5.25       7.25       0.00    2284   0 svchost
      8     1.47       3.75       0.00    2456   0 svchost
     13     3.91       7.95       0.00    2488   0 svchost
     14     4.33      11.03       0.00    2680   0 svchost
     12     3.83       7.45       0.00    2768   0 svchost
     10     1.82       3.26       0.00    2920   0 svchost
     20     6.44      10.05       0.00    2928   0 svchost
     15     2.92       5.80       0.00    2932   0 svchost
     15     4.66       6.19       0.00    2940   0 svchost
     10     2.55       4.53       0.00    3020   0 svchost
     14     2.63       6.34       0.00    3092   0 svchost
      9     1.51       3.45       0.00    3116   0 svchost
     14     7.32      10.39       0.00    3132   0 svchost
     33    16.12       8.41       0.00    3192   0 svchost
     12     1.80       3.87       0.00    3332   0 svchost
     11     1.98       3.54       0.00    3340   0 svchost
      5     1.06       0.83       0.00    3352   0 svchost
     18     3.16       3.70       0.00    3368   0 svchost
     12     2.23       3.18       0.00    3436   0 svchost
     10     2.84       4.82       0.00    3440   0 svchost
     23    44.51      18.43       0.00    3448   0 svchost
     29     7.56       9.02       0.00    3464   0 svchost
     28    22.58      18.95       0.00    3472   0 svchost
     14     2.75       3.63       0.00    3480   0 svchost
     19    11.33       8.89       0.00    3500   0 svchost
      9     1.59       1.38       0.00    3596   0 svchost
     20     6.19       9.49       0.00    3608   0 svchost
      7     1.27       2.12       0.00    3652   0 svchost
     22     7.85      15.48       0.00    3688   0 svchost
      7     1.35       1.05       0.00    3904   0 svchost
     16     3.60       7.19       0.00    4000   0 svchost
     12     2.43       3.54       0.00    4172   0 svchost
     25     3.62       4.46       0.00    4232   0 svchost
     10     1.92       4.00       0.00    4300   0 svchost
     16     2.98       5.43       0.00    4448   0 svchost
     15     6.08       2.14       0.00    4564   0 svchost
      8     1.71       1.91       0.00    4944   0 svchost
     14     3.84       6.09       0.00    5288   0 svchost
     10     1.60       1.45       0.00    5600   0 svchost
     18     1.78       2.23       0.00    5672   0 svchost
     16     3.15       3.53       0.00    5700   0 svchost
     13     2.65       5.40       0.00    5748   0 svchost
     14    11.12      10.58       0.00    5972   0 svchost
     11     2.12       3.75       0.00    6072   0 svchost
     12     3.10       6.13       0.00    6224   0 svchost
      9     1.87       2.64       0.00    6248   0 svchost
     22     6.09      10.90       0.00    6644   0 svchost
     10     3.38      11.30       0.00    7316   0 svchost
     23     8.57      13.34       5.03    7328   8 svchost
     10     2.07       4.47       0.00    7460   0 svchost
     19     7.54       7.70       0.00    7556   0 svchost
     82    99.04      12.09       0.00    7684   0 svchost
     20     6.66      10.07       0.00    7896   0 svchost
     20    10.83      15.14      15.27    8824   8 svchost
     15     4.39       7.93       0.00    9124   0 svchost
      8     1.82       3.27       0.00    9520   0 svchost
     13     2.80       4.87       0.00    9536   0 svchost
     20     6.89      14.80       2.78   10724   8 svchost
      7     1.24       0.50       0.00   10828   0 svchost
     13     2.80       0.97       0.00   11280   0 svchost
     13     2.75       4.84       0.00   11960   0 svchost
     12     2.64       9.62       0.00   14408   0 svchost
      7     3.69       8.93       0.00   15260   0 svchost
      0     0.22       1.93       0.00       4   0 System
     37    18.58       0.44       2.27    5448   8 SystemSettings
     17     3.91      10.64       4.12   11284   8 TabTip
     32     7.22      12.12       3.80    9912   8 taskhostw
     23    14.01       9.69       5.31    2052   8 TextInputHost
     11     2.15       4.34       0.28    9152   8 UserOOBEBroker
      9     2.36       3.56       0.00    7104   0 vmcompute
     11     1.66       2.60       0.00     784   0 wininit
     12     2.62       9.66       0.00    3796   8 winlogon
      7     1.22       1.51       0.00    3976   0 WirelessKB850NotificationService
     29     9.95       4.39       0.00    5904   0 wmpnetwk

